,text,created_at,author_id,id
35,@Banesco Cuando habilitarán las transferencias entre terceros Banesco?,2021-04-26T10:02:54.000Z,287738675,1386621800201822209
36,@nacholacriatura @jesusmiranda @Norkys_batista @jguaido @UNICEF @opsoms @josyfernandez @bnc_corporativo @Banesco @BBVAProvincial @MercantilBanco @BcodeVenezuela @AsambleaVE,2021-04-26T01:06:44.000Z,108942272,1386486871564378116
37,"@Banesco A través de la nueva aplicación no permite cancelar el saldo vencido de las cuentas post pago de Movistar, solo recargar, debería de tener la opción al seleccionar post pago aparecer el saldo vencido a cancelar, saludos",2021-04-25T23:39:25.000Z,552060592,1386464899014922240
38,@Banesco por favor que pasa que la página no abre ??? Desde esta mañana !! #banesco #BanescoContigo,2021-04-25T21:49:19.000Z,107240528,1386437189697871872
39,@Banesco Buenas tardes! Hay algún problema con la página? No he podido ingresar desde ayer,2021-04-25T21:29:00.000Z,336299454,1386432075549523970
40,@REY1PLC @Banesco Intenta con montos de 800mil o de 1 millón,2021-04-25T20:10:14.000Z,1187020481674825728,1386412253545566209
41,"Este desgraciado de @banesco de nuevo marca un error cuando deseo hacer una transferencia.
DIOS MIO.",2021-04-25T20:06:11.000Z,128926601,1386411234447085569
42,"Srs. @Banesco¿soy gerente del Hotel bar restaurant""El Tari Tari¿que pasa que no han hecho el abono de la venta de l dia 16/abril?hecho que perjudica a la empresa por cuanto no puedo responder a multiples compromisos por no contar con flujo de caja.@Banesco @SudebanInforma",2021-04-25T20:05:41.000Z,354529563,1386411108983099394
43,@Movil_Apoyo @Banesco 1.500.000 dime las recargas ... @Banesco  solo permite colocar el monto sin mencionar las recargas puntuales,2021-04-25T19:45:24.000Z,1219010150381637633,1386406006725304322
44,@REY1PLC @Banesco Que monto intento recargar?,2021-04-25T19:41:00.000Z,1187020481674825728,1386404899181654016
45,Sale la página caída. No entiendo. @Banesco,2021-04-25T19:00:26.000Z,143208804,1386394689096470530
46,"Buenos días. No puedo usar la página, sabrán por qué? 
@Banesco

Necesito usar mi dinero. Por favor, quedo atento, espero respuesta pronta. Debo comprar medicamentos.",2021-04-25T19:00:08.000Z,143208804,1386394613544407040
